employee_id,text_message,emotion_label
EMP042,I feel calm and focused,Stressed
EMP032,I enjoy collaborating with my team,Motivated
EMP026,I feel calm and focused,Neutral
EMP024,I feel calm and focused,Motivated
EMP006,I feel very happy working on this project,Neutral
EMP014,I am overwhelmed with work pressure,Happy
EMP029,I am feeling motivated and productive,Burnout
EMP048,I feel calm and focused,Happy
EMP008,I am frustrated with the task assigned,Neutral
EMP040,Today was stressful with too many deadlines,Stressed
EMP013,I feel calm and focused,Burnout
EMP022,I am overwhelmed with work pressure,Motivated
EMP013,I feel very happy working on this project,Happy
EMP040,Today was stressful with too many deadlines,Stressed
EMP021,Workload is making me tired and anxious,Burnout
EMP043,I feel burned out and need a break,Happy
EMP046,I enjoy collaborating with my team,Neutral
EMP033,Today was stressful with too many deadlines,Burnout
EMP029,Today was stressful with too many deadlines,Burnout
EMP018,I enjoy collaborating with my team,Neutral
EMP039,I am feeling motivated and productive,Happy
EMP002,Today was stressful with too many deadlines,Burnout
EMP027,I enjoy collaborating with my team,Happy
EMP008,I feel calm and focused,Motivated
EMP014,Today was stressful with too many deadlines,Stressed
EMP021,I enjoy collaborating with my team,Happy
EMP035,I am feeling motivated and productive,Stressed
EMP031,I feel burned out and need a break,Stressed
EMP033,I feel burned out and need a break,Neutral
EMP035,Everything is going smoothly today,Motivated
EMP039,I feel very happy working on this project,Neutral
EMP044,I am frustrated with the task assigned,Burnout
EMP050,Today was stressful with too many deadlines,Neutral
EMP031,Workload is making me tired and anxious,Motivated
EMP026,I enjoy collaborating with my team,Neutral
EMP004,I am feeling motivated and productive,Happy
EMP019,I am overwhelmed with work pressure,Happy
EMP012,I feel very happy working on this project,Stressed
EMP035,I feel calm and focused,Burnout
EMP033,I am overwhelmed with work pressure,Burnout
EMP037,Workload is making me tired and anxious,Neutral
EMP007,Today was stressful with too many deadlines,Burnout
EMP031,I feel calm and focused,Burnout
EMP003,I feel very happy working on this project,Motivated
EMP009,I feel calm and focused,Happy
EMP046,Today was stressful with too many deadlines,Stressed
EMP026,I enjoy collaborating with my team,Burnout
EMP037,Everything is going smoothly today,Happy
EMP027,I feel calm and focused,Motivated
EMP025,I feel calm and focused,Happy
EMP043,Everything is going smoothly today,Neutral
EMP006,Everything is going smoothly today,Neutral
EMP024,Today was stressful with too many deadlines,Neutral
EMP005,I am frustrated with the task assigned,Neutral
EMP042,I feel calm and focused,Motivated
EMP010,I am frustrated with the task assigned,Neutral
EMP043,I feel burned out and need a break,Happy
EMP037,I am feeling motivated and productive,Motivated
EMP049,I enjoy collaborating with my team,Motivated
EMP002,I enjoy collaborating with my team,Motivated
